nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.6139362387903811,,0.6103254971399663,,0.9185990021816686,0.01876041204566724
2,0.7422557891241411,0.014889432052799075,0.600352267510238,0.042508642725011904,0.9185990021816686,0.01876041204566724
3,0.7423421216833473,0.014673647464697688,0.7389245844140314,0.011357812663348671,0.9185990021816686,0.01876041204566724
4,0.7881243284606538,0.025578325309720918,0.8293417938447366,0.021512017165317688,0.9185990021816686,0.01876041204566724
5,0.8331347765420112,0.0038380941137129585,0.8635629248231347,0.003660170074637507,0.9185990021816686,0.01876041204566724
6,0.8687371058060713,0.004529242625346927,0.8887577365163573,0.003786716669017046,0.9185990021816686,0.01876041204566724
7,0.8773511346825537,0.01345599781038217,0.8852874568581292,0.01069378802649197,0.9185990021816686,0.01876041204566724
8,0.9197133726085966,0.0038169822779025465,0.9108233755567638,0.007996559663232362,0.9185990021816686,0.01876041204566724
9,0.8988524321378,0.008937107729838896,0.8981978461871734,0.017521928935862314,0.9185990021816686,0.01876041204566724
10,0.9200598091207212,0.008624722277762275,0.9124330993027104,0.0063841006726444065,0.9185990021816686,0.01876041204566724
12,0.9259752431476571,0.0016649437489605742,0.9276604774535808,0.003846085754044274,0.9185990021816686,0.01876041204566724
14,0.8931873260928103,0.007327770578019972,0.8892501897169343,0.01074932014712681,0.9185990021816686,0.01876041204566724
15,0.9141199381491424,,0.9120558116466332,,0.9185990021816686,0.01876041204566724
16,0.9130925584769498,0.013885019395102697,0.9104644764505476,0.020551268558984717,0.9185990021816686,0.01876041204566724
18,0.9179593980010502,,0.9233884246032806,,0.9185990021816686,0.01876041204566724
19,0.9041740524239429,0.016323219897107052,0.9053987123974087,0.020124617889080935,0.9185990021816686,0.01876041204566724
