nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.7464214847546894,0.027189748525547577,0.7502556786455354,0.017147083527625725,0.9503609479083277,0.020502136302736416
2,0.7561576714823832,0.05001606468532328,0.760641175725249,0.061837424941398884,0.9503609479083277,0.020502136302736416
3,0.857218370139541,0.04764450626157332,0.8430816604532476,0.061551443443496986,0.9503609479083277,0.020502136302736416
4,0.8723988730341531,0.021699894818185444,0.8492526738981441,0.03668864518435734,0.9503609479083277,0.020502136302736416
5,0.8789153258172768,0.02473728482058191,0.8737177335035814,0.038928683657354836,0.9503609479083277,0.020502136302736416
6,0.8816348600761058,0.023417874320938992,0.8739239187881879,0.02925036388183847,0.9503609479083277,0.020502136302736416
7,0.9138319088319089,0.00908763137195638,0.9104316239316238,0.035994968946590225,0.9503609479083277,0.020502136302736416
8,0.9188024109014676,0.006340954704076586,0.9127020843412353,0.01856018018842839,0.9503609479083277,0.020502136302736416
9,0.9023665945757824,0.03160709139705473,0.8703684900688592,0.043729777269970675,0.9503609479083277,0.020502136302736416
10,0.9231989269788182,0.031166951829680573,0.9273919933729715,0.03346012781200973,0.9503609479083277,0.020502136302736416
11,0.9254734322974472,0.012240650731989983,0.9154845310765816,0.006845987442755993,0.9503609479083277,0.020502136302736416
12,0.8627356591620332,0.02805670276611132,0.8492873256767843,0.03034885478515434,0.9503609479083277,0.020502136302736416
13,0.9406491452991453,0.015100181744388564,0.9438470085470085,0.020371045134561706,0.9503609479083277,0.020502136302736416
14,0.9030632710836589,0.03282058023222931,0.9132033212895496,0.04874679137078049,0.9503609479083277,0.020502136302736416
15,0.923363720137305,0.030194663202771768,0.9240039887925329,0.034135880848743694,0.9503609479083277,0.020502136302736416
17,0.9404481132075472,,0.9339622641509434,,0.9503609479083277,0.020502136302736416
18,0.9465393241839551,0.015167195872003136,0.945765907657209,0.01073453448813283,0.9503609479083277,0.020502136302736416
20,0.9452076040866274,0.012887094783385025,0.9549568617964844,0.005617030947109368,0.9503609479083277,0.020502136302736416
21,0.9481132075471698,0.003335409345219602,0.9345518867924528,0.01167393270826853,0.9503609479083277,0.020502136302736416
22,0.9581367924528302,,0.9439858490566038,,0.9503609479083277,0.020502136302736416
24,0.9213323762646979,0.02453217743041925,0.89988805715067,0.011498702869479648,0.9503609479083277,0.020502136302736416
26,0.9394654088050315,0.009064349494968729,0.949685534591195,0.009889737126893998,0.9503609479083277,0.020502136302736416
34,0.9339622641509433,0.010006228035658768,0.9463443396226415,0.01167393270826853,0.9503609479083277,0.020502136302736416
35,0.9410377358490567,,0.9569575471698113,,0.9503609479083277,0.020502136302736416
39,0.9581367924528302,,0.9487028301886792,,0.9503609479083277,0.020502136302736416
