nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.6082662231559289,0.14957878589771628,0.577660799168152,0.161967511748069,0.9764867414483783,0.024587949605862525
2,0.8070549242424243,0.13835021478671877,0.8157617845117846,0.1516924292581607,0.9764867414483783,0.024587949605862525
3,0.9594111555607084,0.03729202659509665,0.9651336386827453,0.025827833592542503,0.9764867414483783,0.024587949605862525
4,0.9718241401130742,0.02763275374313396,0.984477385092139,0.018123790613795075,0.9764867414483783,0.024587949605862525
5,0.9755713036963035,0.023837641491010784,0.9775320165945163,0.020107619287746615,0.9764867414483783,0.024587949605862525
6,0.9853424668765577,0.027414898708188428,0.9826675849403123,0.03254443516785868,0.9764867414483783,0.024587949605862525
7,0.9745600536616161,0.023337903952446223,0.96939117739899,0.029802530876484046,0.9764867414483783,0.024587949605862525
