nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.6962245364194274,0.08499749830373104,0.7586735405612407,0.047216800398252656,0.6716776123723275,0.02341565860031766
2,0.6950658611406754,0.08722332495554425,0.7199358670801526,0.043273400621519735,0.6716776123723275,0.02341565860031766
3,0.7176874688540335,0.0707549044547262,0.6989201637081035,0.09529218054704364,0.6716776123723275,0.02341565860031766
4,0.7066961301163527,0.05291854219579461,0.7262355422912599,0.028562120931953778,0.6716776123723275,0.02341565860031766
5,0.7094444444444445,0.003574744505271007,0.6359803921568628,0.03991670988690965,0.6716776123723275,0.02341565860031766
6,0.7076892125383606,0.045600477778175594,0.7054811807284026,0.04312987749954839,0.6716776123723275,0.02341565860031766
7,0.7355799067302916,0.037837795354139454,0.7286721696327585,0.039104773307943486,0.6716776123723275,0.02341565860031766
8,0.7016207827215944,0.046710557816291035,0.6909103418574816,0.05092762525887515,0.6716776123723275,0.02341565860031766
9,0.6351234330049575,0.058287149379677536,0.6342303622704842,0.05646793491304059,0.6716776123723275,0.02341565860031766
