nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.7591512904494799,0.004100881146593279,0.49847435628443815,0.004599572117867589,0.8931437398177013,0.002713044645328625
2,0.7972303206705746,0.017562676792455642,0.6431193582859663,0.010888444022023032,0.8931437398177013,0.002713044645328625
3,0.8760092075152837,0.009618196809911805,0.7061694012543236,0.0071201617678653935,0.8931437398177013,0.002713044645328625
4,0.8764033052418618,0.004677937507281491,0.7418614126568059,0.0038030727957623174,0.8931437398177013,0.002713044645328625
5,0.8832356686501248,0.007124701738686683,0.8097103322271907,0.015348345440824765,0.8931437398177013,0.002713044645328625
6,0.8983519413390095,0.002986777611022582,0.8779217295621434,0.005767768636488203,0.8931437398177013,0.002713044645328625
7,0.8824046449281497,0.0011579386533200435,0.8731378386110475,0.0022262259665481025,0.8931437398177013,0.002713044645328625
8,0.8732953971236178,0.0007866115272544044,0.8820820490441234,0.0010087067713757194,0.8931437398177013,0.002713044645328625
9,0.8875717781981826,0.0041807637909061415,0.8868575144794674,0.0017495869349574637,0.8931437398177013,0.002713044645328625
10,0.8835237861252994,0.0010235719018697649,0.8845390995778366,0.003759747774184187,0.8931437398177013,0.002713044645328625
11,0.8834152099324544,0.0008280834470652505,0.8905112270222935,0.0009519169650610661,0.8931437398177013,0.002713044645328625
12,0.8850557263643836,0.004419805108952226,0.8921539031583311,0.0033392809131410845,0.8931437398177013,0.002713044645328625
13,0.8837400148247879,0.0009491537029034478,0.8865346589065748,0.0015652789366428848,0.8931437398177013,0.002713044645328625
14,0.8821445208214267,0.00025497858614844336,0.8857298133809342,0.0009761800041434412,0.8931437398177013,0.002713044645328625
15,0.8910121259161238,0.0015790959788025338,0.8907899658998372,0.0004662341383484802,0.8931437398177013,0.002713044645328625
16,0.8938436924271953,0.004085703561496587,0.8940273906477526,0.0041577442658011585,0.8931437398177013,0.002713044645328625
17,0.886576549656782,0.001401773547988586,0.8862799473016221,0.0010791903460263869,0.8931437398177013,0.002713044645328625
18,0.8909104992304546,0.006423994964717596,0.8923390179252766,0.006044856134450244,0.8931437398177013,0.002713044645328625
29,0.8911897203277687,0.0014554296678878907,0.8939065362886809,0.00012942450945846277,0.8931437398177013,0.002713044645328625
