nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.9786422764239656,0.0119570537762785,0.9744327541943705,0.013733977989879569,1.0,0.0
2,0.9886426353254103,0.006575534227247509,0.9848479041365358,0.008534749210811314,1.0,0.0
3,0.9917359640255448,0.005418977210755738,0.995094460842662,0.007076405910222356,1.0,0.0
5,1.0,1.825195409314665e-17,0.9998145933014354,0.0006866236534143768,1.0,0.0
7,0.99981992464539,0.0003836184404993712,0.9991204011524822,0.0023660284373104943,1.0,0.0
