nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.7051993132744456,0.029522254264067595,0.529919875729594,0.04310107022909835,0.8037932528800061,0.021505062515069805
3,0.685388662192602,0.02406899561947669,0.6497242023505466,0.026271642730810407,0.8037932528800061,0.021505062515069805
4,0.6991570704913691,0.03694348498128564,0.7171073397258977,0.011585385715324952,0.8037932528800061,0.021505062515069805
5,0.7418312544329336,0.014967958697035393,0.7469952685448171,0.015657821611262876,0.8037932528800061,0.021505062515069805
6,0.7545603191250821,0.008512529683825328,0.7620124814815701,0.01816914942461176,0.8037932528800061,0.021505062515069805
7,0.7776141243590684,0.016557945014110714,0.7728832674602947,0.021218672631825156,0.8037932528800061,0.021505062515069805
8,0.7419130768945608,0.03835889569736953,0.7606517981382437,0.026562219827560078,0.8037932528800061,0.021505062515069805
9,0.7382499164438503,0.016314825595060298,0.7732562129965622,0.011301966681624252,0.8037932528800061,0.021505062515069805
10,0.748799300689365,0.023771438162402927,0.7415216668806544,0.02454522341841822,0.8037932528800061,0.021505062515069805
11,0.7862723214285715,0.019383026258721358,0.7688049178004535,0.011828558538231301,0.8037932528800061,0.021505062515069805
12,0.7808382778123307,0.02018129961900259,0.773407113001001,0.030536165157330066,0.8037932528800061,0.021505062515069805
13,0.801438492063492,0.007695189575189456,0.782874503968254,0.012993892788090855,0.8037932528800061,0.021505062515069805
14,0.7807758520074697,0.026625854958019387,0.781042560253268,0.025459490864183296,0.8037932528800061,0.021505062515069805
15,0.7646622305528699,0.01498045967513803,0.7579410205164497,0.024059717053583726,0.8037932528800061,0.021505062515069805
16,0.7438941655359566,,0.7517526006331976,,0.8037932528800061,0.021505062515069805
17,0.7554839439167798,0.008794860462519247,0.7570669380370874,0.002718411415687873,0.8037932528800061,0.021505062515069805
