nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.6676720616407483,0.014466255589992828,0.6660380747126438,0.016213139998313256,0.8992939844707666,0.02120743646325958
2,0.7936526043325124,0.02355320215482025,0.6759505176803308,0.05212261434989221,0.8992939844707666,0.02120743646325958
3,0.8453773428464393,0.028779427911556056,0.7894335082917378,0.05905193206194037,0.8992939844707666,0.02120743646325958
4,0.8572552685604156,0.00670573669918358,0.811698904989346,0.03629343438993078,0.8992939844707666,0.02120743646325958
5,0.8628985546819428,0.024542838107973475,0.8547997448118332,0.02615718097638837,0.8992939844707666,0.02120743646325958
6,0.8663160061291686,0.02822955961116038,0.8476129447576575,0.036425763195904716,0.8992939844707666,0.02120743646325958
7,0.8701215226587712,0.010795111374756777,0.8481242551845298,0.024918988164938018,0.8992939844707666,0.02120743646325958
8,0.8972635479302489,0.010038357209582557,0.8765624567951653,0.010426130816445743,0.8992939844707666,0.02120743646325958
9,0.9056728830279556,0.004142948685156518,0.8817482764094017,0.013701605536415022,0.8992939844707666,0.02120743646325958
10,0.8944352480059272,0.009707271704687206,0.8787492487416422,0.01918170801165939,0.8992939844707666,0.02120743646325958
11,0.8582392552980788,0.010728854640070637,0.849128540305011,0.012341139325112787,0.8992939844707666,0.02120743646325958
