nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.7230299678036813,0.02456463891936907,0.7241802894676931,0.022783317674984656,0.8341068551299575,0.011326684995082109
2,0.7721218356403542,0.04540611266910139,0.7825670283077691,0.027272075028837654,0.8341068551299575,0.011326684995082109
3,0.7983352300488042,0.01749753512499485,0.798720567965312,0.020996643150275007,0.8341068551299575,0.011326684995082109
4,0.8309539046853404,0.00939111153817923,0.8287544838885599,0.01947681470280758,0.8341068551299575,0.011326684995082109
5,0.8278894042538157,0.00946734881369774,0.8294636160909536,0.019616130022862607,0.8341068551299575,0.011326684995082109
6,0.8249190983913206,0.010601998391814018,0.8212835049844852,0.013090447600985147,0.8341068551299575,0.011326684995082109
7,0.8301066103761373,0.011321999586957218,0.8376476372708496,0.007899288180919634,0.8341068551299575,0.011326684995082109
8,0.8319661716171618,0.012193313431724254,0.8228930143014301,0.009372567738163234,0.8341068551299575,0.011326684995082109
