nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.7228969474417719,0.07207248065479037,0.7218642710957835,0.07195961589675776,0.8300865702924526,0.02861224139451156
2,0.7161544851990453,0.030839910953227044,0.7169358115424505,0.02686185661051509,0.8300865702924526,0.02861224139451156
3,0.8085617697856521,0.03979727269546913,0.8021429777167058,0.03711241337456309,0.8300865702924526,0.02861224139451156
4,0.8130443650275972,0.03950759525555863,0.8186818413416824,0.030512746401316102,0.8300865702924526,0.02861224139451156
5,0.8161832583692555,0.06741659803676797,0.8071354873337868,0.056716394697528635,0.8300865702924526,0.02861224139451156
6,0.8137891568240353,0.04331380714922947,0.8202851562138386,0.04502978017053892,0.8300865702924526,0.02861224139451156
7,0.8321133136613882,0.02629741655905111,0.8303971791617079,0.027257209879594745,0.8300865702924526,0.02861224139451156
8,0.8172668985398421,0.05566041658408144,0.8118378166450687,0.05420668292167736,0.8300865702924526,0.02861224139451156
