nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.688419137612686,0.13603386497079406,0.6668295861844249,0.11578177812526728,0.9328396089036822,0.0223860193723388
2,0.7904623154623152,0.07175462486582503,0.7593822843822845,0.07171065172765796,0.9328396089036822,0.0223860193723388
3,0.7690422745978304,0.07500226851921395,0.7791245791245792,0.08678321174922615,0.9328396089036822,0.0223860193723388
4,0.7229021990740744,0.08073840633340901,0.7359730113636364,0.10647121971438085,0.9328396089036822,0.0223860193723388
5,0.7999817010686572,0.0684850239368486,0.8075574586444152,0.06728995964271671,0.9328396089036822,0.0223860193723388
6,0.8093839630876668,0.04335552637212125,0.7855748846489589,0.04270248210468455,0.9328396089036822,0.0223860193723388
7,0.8157575757575758,0.02465557043249457,0.8163636363636364,0.08122257960700663,0.9328396089036822,0.0223860193723388
8,0.8582950719314355,0.04967237659459409,0.8329456177941025,0.06670966014489209,0.9328396089036822,0.0223860193723388
9,0.8604895104895106,0.014656843307211303,0.8146853146853148,0.04583754724507382,0.9328396089036822,0.0223860193723388
10,0.8104179045355516,0.10798432886312768,0.8032580709051298,0.10069727339429627,0.9328396089036822,0.0223860193723388
11,0.7974211815120906,0.10654086450719079,0.80856290174472,0.10883559899044895,0.9328396089036822,0.0223860193723388
12,0.8953474135292318,0.03394129925600904,0.8842363024181205,0.04757120622019516,0.9328396089036822,0.0223860193723388
13,0.8472727272727273,0.026252048288436258,0.8585858585858587,0.03809255059245012,0.9328396089036822,0.0223860193723388
14,0.7797348484848485,0.13811035570470245,0.7979166666666666,0.09813937908876652,0.9328396089036822,0.0223860193723388
15,0.7931330852383484,0.12162188059900067,0.8168350168350168,0.11362277010601725,0.9328396089036822,0.0223860193723388
16,0.8767676767676768,0.04737120666928324,0.8702020202020202,0.055721744086161464,0.9328396089036822,0.0223860193723388
17,0.9321513748597082,0.0378635151887886,0.9251437991021324,0.0424515838295463,0.9328396089036822,0.0223860193723388
18,0.801010101010101,0.1435982134052307,0.8208754208754209,0.12106584889245554,0.9328396089036822,0.0223860193723388
19,0.9085690235690235,0.03067193782349016,0.9180639730639731,0.04316822211507835,0.9328396089036822,0.0223860193723388
20,0.9174971941638608,0.044408387425804115,0.9316161616161618,0.04524630071757286,0.9328396089036822,0.0223860193723388
21,0.933726150392817,0.037528496279056446,0.9070145903479236,0.02096179318598141,0.9328396089036822,0.0223860193723388
22,0.8409090909090909,,0.8999999999999999,,0.9328396089036822,0.0223860193723388
23,0.8984848484848484,0.025846548650351506,0.9045454545454544,0.020829889522526557,0.9328396089036822,0.0223860193723388
24,0.9318181818181819,,0.8999999999999999,,0.9328396089036822,0.0223860193723388
26,0.8681818181818182,,0.9863636363636363,,0.9328396089036822,0.0223860193723388
