nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.6546394344953587,0.013600665251877177,0.6447226473927269,0.02750406404537372,1.0,0.0
2,0.7077561784333923,0.011134143713185402,0.7173969496177616,0.026430100614917188,1.0,0.0
3,0.7780227539050908,0.0219079003180538,0.7826495712480557,0.037032772444076344,1.0,0.0
4,0.8355384363644028,0.012943805729749751,0.8339721903943931,0.02534109241048193,1.0,0.0
5,0.8713231088772475,0.01696512847725127,0.8773068383884282,0.017442003391364543,1.0,0.0
6,0.9276895874757904,0.01137441202526815,0.9279804699589816,0.014189674331189143,1.0,0.0
7,1.0,0.0,1.0,0.0,1.0,0.0
8,1.0,0.0,1.0,7.850462293418876e-17,1.0,0.0
9,1.0,0.0,1.0,0.0,1.0,0.0
10,0.9999847290941298,3.74059272918814e-05,1.0,0.0,1.0,0.0
