nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.9133851393732646,0.041326669053431304,0.9415465495415049,0.03614515518657006,0.9918445885462377,0.005619710125936022
2,0.9757261923336974,0.010168149970248142,0.9794332189109065,0.011437017491009789,0.9918445885462377,0.005619710125936022
3,0.9838003160934227,0.01126958732619803,0.9732634345970649,0.018883235478525322,0.9918445885462377,0.005619710125936022
4,0.9790334834157168,0.013243796020985785,0.9761356908329513,0.016066787476033427,0.9918445885462377,0.005619710125936022
5,0.9871823897541825,0.008509620813127382,0.9849471656230734,0.008263586507780843,0.9918445885462377,0.005619710125936022
6,0.9921898025346301,0.0006752985108983662,0.987253168287651,0.004477605247344059,0.9918445885462377,0.005619710125936022
7,0.9745112176855338,0.011069746301731633,0.9761940445497039,0.011443422769299676,0.9918445885462377,0.005619710125936022
8,0.9849309305282211,0.00657966875639384,0.9836193140959875,0.006717902219171057,0.9918445885462377,0.005619710125936022
9,0.9874757085053724,0.009128556611565067,0.984740979859046,0.009175672632767841,0.9918445885462377,0.005619710125936022
10,0.9954004207046803,0.0027057203248521816,0.9905209976710991,0.003551217614126631,0.9918445885462377,0.005619710125936022
11,0.967750959079284,0.006152238284202884,0.9595588235294117,0.010173648385679237,0.9918445885462377,0.005619710125936022
12,0.9913456705152693,0.009984467657715448,0.9879507543828445,0.009628074162651578,0.9918445885462377,0.005619710125936022
14,0.9834245203097961,0.004472419436293932,0.9645923436264139,0.010546145560378212,0.9918445885462377,0.005619710125936022
16,0.9993368700265252,,0.9973474801061007,,0.9918445885462377,0.005619710125936022
