nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.7723463686146078,0.09629890769730207,0.7663042562566158,0.08748945313134597,0.9965035767701671,0.0038328232305430746
2,0.8316483478506002,0.022353198094130243,0.8061950761894127,0.09040806341267735,0.9965035767701671,0.0038328232305430746
3,0.9449493250983465,0.019824168034155078,0.8496131793281689,0.07125890271124379,0.9965035767701671,0.0038328232305430746
4,0.9422798848216822,0.03168150654799433,0.8858874439145576,0.05077217938362458,0.9965035767701671,0.0038328232305430746
5,0.9674376283745789,0.035938006469203754,0.9003870653633758,0.04648250270416303,0.9965035767701671,0.0038328232305430746
6,0.9868849798511877,0.022194052041062666,0.9524368904633231,0.03906906335790476,0.9965035767701671,0.0038328232305430746
7,0.986648581041612,0.019925148037307435,0.9594289143884384,0.03946467108102404,0.9965035767701671,0.0038328232305430746
8,0.98541747659988,0.02023633329518331,0.9775050996442697,0.024833826961293805,0.9965035767701671,0.0038328232305430746
9,0.9890608070261788,0.010870290583784954,0.9880471050067259,0.012483694176489105,0.9965035767701671,0.0038328232305430746
10,0.9834453553501173,0.03265357821541107,0.9832346357346357,0.027344571676237796,0.9965035767701671,0.0038328232305430746
11,0.988748082198646,0.01151776398898544,0.9888408339167084,0.008232178575318766,0.9965035767701671,0.0038328232305430746
12,0.9807517997463674,0.014088481980606065,0.9867409326589713,0.010786635766408216,0.9965035767701671,0.0038328232305430746
13,0.9918107681020374,0.006912239153977103,0.9948965799424347,0.0020294551248515474,0.9965035767701671,0.0038328232305430746
15,0.9979037836704746,0.0003489324032323302,0.9977465674457605,0.0008584468696716751,0.9965035767701671,0.0038328232305430746
