nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.6480404259267889,0.018046224270907386,0.6498533792859086,0.018739511243516575,0.9966933079011548,0.000752573997283725
2,0.7720119965280156,0.014606411497904431,0.7702835078873433,0.013928040375243018,0.9966933079011548,0.000752573997283725
3,0.8406678310567965,0.00951829611583541,0.8439699434239981,0.007194349004835538,0.9966933079011548,0.000752573997283725
4,0.8826600950425402,0.0003742456622346786,0.8797271606832734,0.0004429353863463468,0.9966933079011548,0.000752573997283725
5,0.9104767190444084,0.007166069048445449,0.9094938390980737,0.00799463573984412,0.9966933079011548,0.000752573997283725
6,0.9325014756921703,0.005587039959560773,0.9306278662654671,0.005420592259733797,0.9966933079011548,0.000752573997283725
7,0.9440972967783982,0.00875405733996893,0.9454115934592489,0.006582220336134802,0.9966933079011548,0.000752573997283725
8,0.9564585849765781,0.0018166564657905045,0.9573755252596147,0.0021642646310227882,0.9966933079011548,0.000752573997283725
9,0.9625641897823034,,0.9629189709152621,,0.9966933079011548,0.000752573997283725
10,0.9689478942646836,0.0031196511047571346,0.9706425807380519,0.0032369032142537378,0.9966933079011548,0.000752573997283725
11,0.9761364478784496,0.0007937620401852948,0.975882208379821,0.001565223503595087,0.9966933079011548,0.000752573997283725
12,0.9797685954887239,0.0007555011859949843,0.9830263900036912,0.00176315756285534,0.9966933079011548,0.000752573997283725
13,0.9839595045477396,0.0006275986700063667,0.9846585767174002,0.0011085147876177326,0.9966933079011548,0.000752573997283725
14,0.9896277665995976,0.00030938119714617364,0.989431741966953,0.0007109912948833233,0.9966933079011548,0.000752573997283725
