nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.9875703819430572,0.0028599805845204063,0.9617508028863996,0.06439176201839034,1.0,0.0
3,0.9976004894947084,0.0006804871981307436,0.998887515374334,0.0010023565967000562,1.0,0.0
5,1.0,0.0,0.9999878999080393,1.711211415682842e-05,1.0,0.0
6,0.9999721351258537,4.190615148414303e-05,0.9999777020585714,4.9213688585956556e-05,1.0,0.0
8,1.0,0.0,1.0,0.0,1.0,0.0
9,1.0,0.0,1.0,0.0,1.0,0.0
10,1.0,0.0,1.0,0.0,1.0,0.0
11,1.0,0.0,1.0,0.0,1.0,0.0
12,1.0,0.0,1.0,0.0,1.0,0.0
14,1.0,0.0,1.0,0.0,1.0,0.0
15,1.0,0.0,1.0,0.0,1.0,0.0
16,1.0,0.0,1.0,0.0,1.0,0.0
