nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.6439274014254424,0.015415691854419777,0.6443866432934926,0.015851437788934948,0.9920837200948632,0.0012574554680452195
2,0.7618501161055542,0.014432897309883588,0.7605248708627195,0.013856589023908374,0.9920837200948632,0.0012574554680452195
3,0.8587553816190253,0.0020781273435958657,0.8541916832630428,0.0027937413429185596,0.9920837200948632,0.0012574554680452195
4,0.8607438705417741,0.0077344244758822765,0.861935727619305,0.006237435628638199,0.9920837200948632,0.0012574554680452195
5,0.9031748970609756,0.010211313125178997,0.9038522582123388,0.01171482290667742,0.9920837200948632,0.0012574554680452195
6,0.917976101897762,0.0031690921906022407,0.9214550114719048,0.004274998881311154,0.9920837200948632,0.0012574554680452195
7,0.9362349479617655,0.005524732832579344,0.9337643705345365,0.008726689848173612,0.9920837200948632,0.0012574554680452195
8,0.9449452657265405,0.0038908356793285084,0.946990335987826,0.005016124666805486,0.9920837200948632,0.0012574554680452195
9,0.9505642318507977,0.0034296844682674714,0.9498007032655955,0.005642116298166746,0.9920837200948632,0.0012574554680452195
10,0.9606722459041042,0.003622833838183556,0.9619265471597945,0.005654504400121631,0.9920837200948632,0.0012574554680452195
11,0.9667090833856501,0.004371520623233778,0.967894989200444,0.007997319445604896,0.9920837200948632,0.0012574554680452195
12,0.9695976873165092,0.0019115042274337483,0.9745261430188679,0.0033911106081995525,0.9920837200948632,0.0012574554680452195
13,0.974613573999349,0.0014747854500562225,0.9743765023706548,0.002957787033781797,0.9920837200948632,0.0012574554680452195
14,0.9784044948438656,0.002870642521252745,0.9781625822309855,0.003942990699893815,0.9920837200948632,0.0012574554680452195
15,0.9838386920767689,0.0007817572694522334,0.9838114591867386,0.0013313041512058158,0.9920837200948632,0.0012574554680452195
16,0.9847475921373309,0.0009691011676058762,0.9844538273933353,0.0013051178512006308,0.9920837200948632,0.0012574554680452195
17,0.9857449779247853,0.0021557118206730406,0.9848532664016086,0.0024304528642970355,0.9920837200948632,0.0012574554680452195
18,0.9912218667576764,0.0007272996777781441,0.9906425785666427,0.0007429563006196725,0.9920837200948632,0.0012574554680452195
19,0.9905850569414986,0.0005594801165560352,0.990466099653788,0.0006722067420825642,0.9920837200948632,0.0012574554680452195
