nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.7142913520723456,0.0884061729256318,0.7057778790734099,0.0841158339805663,0.9325837320574163,0.019682700860666633
2,0.7782631448928645,0.10715162745209501,0.7577728442895776,0.08310639972290786,0.9325837320574163,0.019682700860666633
3,0.7635197368421051,0.06579479178558183,0.7571770334928228,0.09045839643812742,0.9325837320574163,0.019682700860666633
4,0.7877024577253409,0.07132753021872863,0.7731864245594222,0.06991756103624717,0.9325837320574163,0.019682700860666633
5,0.7895992670003307,0.021068280213576582,0.7988809976871964,0.03802871498559762,0.9325837320574163,0.019682700860666633
6,0.7975855041644513,0.054999314769547704,0.8061514265461637,0.06206609250314632,0.9325837320574163,0.019682700860666633
7,0.7012237762237763,0.012434933429668876,0.7136363636363635,0.0267548687672883,0.9325837320574163,0.019682700860666633
8,0.8624999999999999,0.014772727272727342,0.852651515151515,0.021749813969629713,0.9325837320574163,0.019682700860666633
9,0.792666366178952,0.03008293812180807,0.7567497052908951,0.03977542080902307,0.9325837320574163,0.019682700860666633
10,0.8784772207197836,0.010813842096895092,0.8616408362804245,0.032432028489101955,0.9325837320574163,0.019682700860666633
11,0.8541068580542266,0.04468470573726029,0.8353568580542264,0.05286324093115251,0.9325837320574163,0.019682700860666633
12,0.8928732404132861,0.012796813970670048,0.8712988003605853,0.03277996806431488,0.9325837320574163,0.019682700860666633
13,0.9179575358851675,0.019908356248090255,0.9090311004784689,0.006934532861486396,0.9325837320574163,0.019682700860666633
14,0.8901597496706192,0.029501192426367784,0.853742155537064,0.02562368005511208,0.9325837320574163,0.019682700860666633
15,0.8969870327993897,0.01454808621247677,0.8988523680743359,0.027030359461494735,0.9325837320574163,0.019682700860666633
16,0.9074492060190001,0.03278674942003787,0.8877474689688648,0.036410898912618665,0.9325837320574163,0.019682700860666633
17,0.909688995215311,0.005920750560174453,0.8989234449760766,0.005920750560174453,0.9325837320574163,0.019682700860666633
18,0.894736842105263,,0.877574370709382,,0.9325837320574163,0.019682700860666633
19,0.9234449760765551,,0.8803827751196173,,0.9325837320574163,0.019682700860666633
20,0.9306220095693781,0.012938581132047799,0.9019138755980861,0.010631811503965992,0.9325837320574163,0.019682700860666633
21,0.9156698564593302,0.012774342261858704,0.9186732889536093,0.022992423085488826,0.9325837320574163,0.019682700860666633
