nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.7309818279139385,0.09641692639424768,0.7036799475956159,0.08336165331605357,0.8968139131746975,0.040139043789116126
2,0.8653878833584715,0.04056747560003993,0.7952767722473605,0.038440317727012605,0.8968139131746975,0.040139043789116126
3,0.8966766595540197,0.06576885100285917,0.8185396690359228,0.06233015871781945,0.8968139131746975,0.040139043789116126
4,0.8663396427179431,0.05517516619303036,0.8640994008519716,0.06794461899974914,0.8968139131746975,0.040139043789116126
5,0.9076551044701198,0.05970242445962341,0.901076443640782,0.06102247010142937,0.8968139131746975,0.040139043789116126
6,0.8743922179711401,0.04590736298793449,0.885347512723127,0.04314230616065957,0.8968139131746975,0.040139043789116126
7,0.8783533010823353,0.07015737935760043,0.8904405596524735,0.06198908737343724,0.8968139131746975,0.040139043789116126
8,0.9063692849548112,0.07260644952420736,0.9104827330320749,0.06401083097195741,0.8968139131746975,0.040139043789116126
9,0.9093555259730558,0.06607182560930872,0.9012180182730891,0.06811456315881025,0.8968139131746975,0.040139043789116126
10,0.8898780271414943,0.06177170444083594,0.881810267298324,0.05343425057901597,0.8968139131746975,0.040139043789116126
11,0.8873181216931216,0.06254921971980998,0.8900347222222222,0.06379176135403491,0.8968139131746975,0.040139043789116126
12,0.9654503105590062,0.012247831200954488,0.9681677018633541,0.018089514674245893,0.8968139131746975,0.040139043789116126
