nonzero,polish,polish,base,base,full_mean,full_std
,mean,std,mean,std,,
1,0.6921010496391629,0.007132606017515932,0.6924896747352943,0.006305096803347088,0.9350478811510692,0.005428247127969883
2,0.8330870014502179,0.0048261826982090505,0.8334077877074538,0.004786068078653077,0.9350478811510692,0.005428247127969883
3,0.8704282378580382,0.007305783882830028,0.8731093374805332,0.003329529782306354,0.9350478811510692,0.005428247127969883
4,0.881690351959063,0.002074782284659227,0.9095594932952985,0.0061857873926722835,0.9350478811510692,0.005428247127969883
6,0.9272170527799107,0.004410207410717329,0.9286420466536079,0.003593326663592985,0.9350478811510692,0.005428247127969883
7,0.9303377818754163,0.0037492307838603756,0.9335585982137088,0.005167561883016363,0.9350478811510692,0.005428247127969883
8,0.9325157595133431,0.006003375397502047,0.9330575244904749,0.005775113886098158,0.9350478811510692,0.005428247127969883
10,0.9326671233622521,0.005187770488612214,0.9326906960479193,0.004971171926217189,0.9350478811510692,0.005428247127969883
